"Date","Hour ID","Hour Label","Advertiser ID","Advertiser Label","Campaign ID","Campaign Label","Creative ID","Creative Label","Impressions Analyzed (unfiltered)","Impressions Analyzed (filtered for GIVT)","Impressions Analyzed","Human and Viewable Rate","Human and AVOC Rate","Human, Audible & Fully On-Screen for Half of Duration (15 sec. cap) Rate","Averaged Ad Length (sec)","% of Video Played In-View","In-View Time (sec)","Exposure Time (sec)","Reached Complete Rate","Completion Quality"
"2017-02-15","07","","9601752696","Pampers","743862690","Pampers - Mileage - Feb17","166799189728","Pampers Mileage","1242","1160","1158","95.74%","30.64%","47.25%","15.05","62.67%","9.47","10212.88","32.50%","94.26%"
"2017-02-09","13","","8411425232","Old Spice Perú YT IO 22232","690889621","IO22232_PE_Old Spice_Citron_GO_YT_November_CPV_H18-34_FY1617_InStream_OSG Remarketing","153174436548","Brazo","1210","1160","1157","88.04%","19.63%","29.13%","25.04","47.26%","11.8","11374.05","24.47%","80.22%"
"2017-02-20","07","","8916876391","Gillette","744262231","Gillette_Barza_Feb17","147214178592","Gillette Mach3 Turbo","1237","1162","1157","91.86%","40.00%","52.92%","15.87","68.02%","10.74","11143.31","44.87%","89.15%"
"2017-02-20","18","","9155314220","Downy","743824032","Downy_Freshly Dressed_Feb17","167943633001","Downy libre enjuague","1219","1158","1157","88.01%","33.01%","43.65%","18.61","61.41%","11.32","11140.68","41.50%","79.53%"
"2017-02-09","08","","8411425232","Old Spice Perú YT IO 22232","739584367","IO22232_PE_Old Spice_Franda_GO_YT_Jan- Feb_CPV_POME_FY1617_InStream","155631338830","Franda","1168","1166","1157","95.17%","3.69%","20.98%","242.86","13.12%","31.31","33937.02","4.30%","85.71%"
"2017-02-21","07","","8916876391","Gillette","744262231","Gillette_Barza_Feb17","147214178592","Gillette Mach3 Turbo","1249","1159","1157","92.14%","37.71%","53.35%","15.88","66.76%","10.62","10944.15","42.45%","88.84%"
"2017-02-18","17","","9155314220","Downy","743824032","Downy_Freshly Dressed_Feb17","167943633001","Downy libre enjuague","1213","1158","1155","89.60%","39.82%","50.58%","18.62","66.16%","12.17","12262.86","47.73%","83.43%"
"2017-02-05","09","","8411425232","Old Spice Perú YT IO 22232","690889621","IO22232_PE_Old Spice_Citron_GO_YT_November_CPV_H18-34_FY1617_InStream_OSG Remarketing","153174436548","Brazo","1218","1158","1155","88.17%","21.75%","30.12%","25.04","48.17%","12.11","11738.8","25.84%","84.15%"
"2017-02-07","07","","9601752696","Pampers","743862690","Pampers - Mileage - Feb17","166799189728","Pampers Mileage","1243","1172","1154","95.70%","28.47%","46.64%","15.1","61.86%","9.34","9980.93","30.53%","93.26%"
"2017-02-24","15","","1162470087","Head & Shoulders","743859324","H&S_Efficacy 3 Action+Tag_Feb17","163159824439","Conoce el nuevo H&S 3 Action","1231","1165","1154","85.32%","35.81%","46.82%","15.05","65.91%","9.94","9476.71","46.20%","77.52%"
"2017-02-26","07","","9601752696","Pampers","743862690","Pampers - Mileage - Feb17","166799189728","Pampers Mileage","1196","1157","1153","96.00%","28.00%","42.04%","15.03","61.17%","9.17","9903.04","29.78%","94.03%"
"2017-02-22","15","","1162470087","Head & Shoulders","743859324","H&S_Efficacy 3 Action+Tag_Feb17","163159824439","Conoce el nuevo H&S 3 Action","1195","1155","1152","88.66%","36.36%","46.89%","15.04","65.96%","9.89","9742.44","45.09%","80.64%"
"2017-02-05","09","","8411425232","Old Spice Perú YT IO 22232","690880549","IO22232_PE_Old Spice_Citron_GO_YT_November_CPV_H18-34_FY1617_InStream_OSG Brandlift","132290166237","Machu Pichu","1184","1158","1152","92.97%","22.83%","35.53%","22.77","52.19%","11.83","12037.99","26.58%","85.91%"
"2017-02-19","00","","8916876391","Gillette","744262231","Gillette_Barza_Feb17","147214178592","Gillette Mach3 Turbo","1196","1156","1151","91.42%","37.44%","49.15%","15.88","66.21%","10.53","10773.23","44.33%","84.48%"
"2017-02-11","08","","3135035627","Oral B","743860470","Oral B - 3DW Concierto - Feb17","170597209600","Oral B 3D White","1202","1151","1150","91.04%","28.58%","37.63%","15.04","60.60%","9.12","9267.71","33.42%","85.52%"
"2017-02-22","14","","9155314220","Downy","743824032","Downy_Freshly Dressed_Feb17","167943633001","Downy libre enjuague","1210","1153","1150","89.83%","33.03%","43.11%","18.66","60.14%","11.16","11134.38","40.59%","81.37%"
"2017-02-24","20","","1162470087","Head & Shoulders","743859324","H&S_Efficacy 3 Action+Tag_Feb17","163159824439","Conoce el nuevo H&S 3 Action","1194","1152","1149","88.05%","36.74%","48.42%","15.05","67.16%","10.12","9846.52","45.97%","79.92%"
